scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
proxy_break_reverse_noisyx1_expanding,116,rf,x1,signal,-0.48253148981238514,-0.48253148981238514,-0.9699091847703896,-0.20323741634917009,-0.20961882432733184,-0.32707196843710834,1.8848593832823315,2.449433373658133,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,rf,x2,trap,-0.4363018602724498,-0.4363018602724498,0.34618161528460584,-0.19765512852787254,-0.1892285389163211,0.1131938089467946,1.8848593832823315,2.449433373658133,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,rf,x3,noise,-0.07180776531879644,-0.07180776531879647,-0.0009470436897572829,-0.03422912276623682,-0.03359076732736393,-0.00013006850691176428,1.8848593832823315,2.449433373658133,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,116,rf,x4,noise,-0.0747115498073932,-0.07471154980739315,-0.005227371173158794,-0.03604174487490315,-0.03519757720163167,-0.0021582771755295355,1.8848593832823315,2.449433373658133,5,24,48,10.7,13.4
proxy_break_reverse_noisyx1_expanding,117,ols,x1,signal,-0.5386106353886622,-0.538610635388662,-0.6210987300420748,-0.20163259542910178,-0.20321520694930487,-0.2362243907440298,2.271316361428694,1.7695146775635617,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,ols,x2,trap,-0.43561950354245405,-0.43561950354245393,0.4987240505129386,-0.17313155510891798,-0.16366065263157342,0.18906967475476677,2.271316361428694,1.7695146775635617,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,ols,x3,noise,-0.0030338511215413045,-0.0030338511215413527,-0.018900184381763312,-0.002062488388922211,-0.0013231712527875018,-0.007129564930524801,2.271316361428694,1.7695146775635617,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,ols,x4,noise,0.0025574627550386223,0.0025574627550386947,0.01322778824191872,0.0013508681781121855,-0.00020190456842005913,0.00525094082424313,2.271316361428694,1.7695146775635617,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,enet,x1,signal,-0.5418462039805704,-0.5418462039805703,-0.6198112417413757,-0.20270897324215537,-0.20449629114549786,-0.2359161167942743,2.271316361428694,1.7695146775635615,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,enet,x2,trap,-0.43207492894954813,-0.432074928949548,0.49001516886841384,-0.1722589675743895,-0.16226976102812748,0.18589033626068177,2.271316361428694,1.7695146775635615,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,enet,x3,noise,-0.0016650290257441982,-0.0016650290257440765,-0.016671076722722996,-0.0014363495387922343,-0.0007890043683702006,-0.0062898741125160555,2.271316361428694,1.7695146775635615,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,enet,x4,noise,0.002056944029645483,0.0020569440296456013,0.011747512430407593,0.0012406552677019806,-0.00032903733478336267,0.004675630122676931,2.271316361428694,1.7695146775635615,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,rf,x1,signal,-0.7231922983914782,-0.7231922983914784,-0.47826477639191506,-0.2935659292983406,-0.29863328250256965,-0.186313352318793,2.2710445308485046,1.7668391222697672,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,rf,x2,trap,-0.6611335603743217,-0.6611335603743216,0.1963334628203631,-0.28608515255514666,-0.27414121486007326,0.07568829520351167,2.2710445308485046,1.7668391222697672,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,rf,x3,noise,-0.030407875651329297,-0.030407875651329297,-0.014431477479179744,-0.01581972012244822,-0.014601311438790949,-0.005760230290757909,2.2710445308485046,1.7668391222697672,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,117,rf,x4,noise,-0.07340233328809939,-0.07340233328809943,0.021196727575018573,-0.030566578042476672,-0.03480156085515267,0.008500960153020246,2.2710445308485046,1.7668391222697672,5,24,48,10.6,14.9
proxy_break_reverse_noisyx1_expanding,118,ols,x1,signal,-0.5880197951378673,-0.5880197951378673,-1.1204766181942747,-0.2505180769623833,-0.2620094144439596,-0.410127970512612,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,ols,x2,trap,-0.06381920085261797,-0.06381920085261805,0.23677558934969914,-0.030612173616879523,-0.025694644668616973,0.08519531338581332,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,ols,x3,noise,-0.003408580304211855,-0.003408580304212048,0.00934088716691297,-0.001751490077921667,-0.001488852618453299,0.0033854860256468298,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,ols,x4,noise,-0.007354852605210613,-0.007354852605210725,0.014001385586614354,-0.001561343279949257,-0.003007527569244874,0.005332215247252706,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,enet,x1,signal,-0.5920630523856228,-0.5920630523856232,-1.0715834135376439,-0.25233057123159264,-0.26309848897422805,-0.3922388621354412,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,enet,x2,trap,-0.06857090899468085,-0.06857090899468088,0.2100582659919766,-0.03306213760930991,-0.028243801126911963,0.07580061741257622,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,enet,x3,noise,2.7755575615628914e-17,0.0,3.932039878880763e-17,1.3877787807814457e-17,0.0,3.932039878880763e-17,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,enet,x4,noise,-0.0010800193930976033,-0.0010800193930978648,0.007035207274340871,0.0001433188998186466,-0.0004085021736449264,0.002661490210257573,1.6381827361528631,2.3058702630606254,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,rf,x1,signal,-0.7217816796698235,-0.7217816796698237,-0.8663398714826815,-0.33906621734962655,-0.3481628619130137,-0.31584974349378325,1.637854944480812,2.3044623192883353,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,rf,x2,trap,-0.27999809466750347,-0.2799980946675035,-0.0350583842656899,-0.1461147335262935,-0.1423216929544432,-0.0171847892421691,1.637854944480812,2.3044623192883353,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,rf,x3,noise,-0.06334218715067712,-0.06334218715067712,0.0037087865497443923,-0.037398748502552114,-0.03646114777402567,0.0019736723308121165,1.637854944480812,2.3044623192883353,5,24,48,11.1,13.4
proxy_break_reverse_noisyx1_expanding,118,rf,x4,noise,-0.03701260525444723,-0.03701260525444727,0.022072042200818588,-0.02104564302496156,-0.02091215099142596,0.008358303317424891,1.637854944480812,2.3044623192883353,5,24,48,11.1,13.4
