horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing
12,lin_comb,Linear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.961976696924536,0.0,92.77685950413223,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9662918303752879,0.0,82.24793388429752,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,all_comb,All models combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9680463351849343,0.0,77.96694214876032,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
12,pca,PCA,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.3953925154942074,0.217543,3761.8677685950415,6222.0,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0
12,enet,ENet,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.02073895097150913,0.996898,2431.75,2483.25,0.6666666666666666,1000000,20260602,76,35.0,41.0,1,45,0
12,rf_cv,RF,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.8164816393973929,0.0,1141.8512396694214,6222.0,0.6666666666666666,1000000,20260602,121,96.0,25.0,1,0,0
12,xgb_cv,XGBoost,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.21740504899968383,0.924478,4869.305785123967,6222.0,0.6666666666666666,1000000,20260602,121,64.0,57.0,1,0,0
12,nn_comb,Neural net,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.33755455847153926,0.499079,4121.735537190083,6222.0,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0
12,lin_comb,Linear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.3644678573231217,0.360134,3954.280991735537,6222.0,0.6666666666666666,1000000,20260602,121,70.0,51.0,1,0,0
12,nonlin_comb,Nonlinear combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.5005698255457176,0.008774,3107.4545454545455,6222.0,0.6666666666666666,1000000,20260602,121,78.0,43.0,1,0,0
12,all_comb,All models combination,oos_shapley_vs_oos_gpbsv,Check 2: OOS Shapley VI vs OOS GPBSV,equal(drop via oshapley_vi),signed,0.5114004957083769,0.005504,3040.0661157024792,6222.0,0.6666666666666666,1000000,20260602,121,77.0,44.0,1,0,0
