date,soc_ics,soc_ice,soc_icc
1992-10-01,73.299999999999997,67.5,82.5
1992-11-01,85.299999999999997,78.200000000000003,96.400000000000006
1992-12-01,91,89.5,93.400000000000006
1993-01-01,89.299999999999997,83.400000000000006,98.599999999999994
1993-02-01,86.599999999999994,80.599999999999994,96
1993-03-01,85.900000000000006,75.799999999999997,101.59999999999999
1993-04-01,85.599999999999994,76.400000000000006,99.900000000000006
1993-05-01,80.299999999999997,68.5,98.700000000000003
1993-06-01,81.5,70.400000000000006,98.700000000000003
1993-07-01,77,64.700000000000003,96.200000000000003
1993-08-01,77.299999999999997,65.799999999999997,95.099999999999994
1993-09-01,77.900000000000006,66.799999999999997,95.200000000000003
1993-10-01,82.700000000000003,72.5,98.700000000000003
1993-11-01,81.200000000000003,70.299999999999997,98.200000000000003
1993-12-01,88.200000000000003,78.799999999999997,102.90000000000001
1994-01-01,94.299999999999997,86.400000000000006,106.59999999999999
1994-02-01,93.200000000000003,83.5,108.3
1994-03-01,91.5,85.099999999999994,101.40000000000001
1994-04-01,92.599999999999994,82.599999999999994,108.09999999999999
1994-05-01,92.799999999999997,84.200000000000003,106.3
1994-06-01,91.200000000000003,82.700000000000003,104.5
1994-07-01,89,78.5,105.40000000000001
1994-08-01,91.700000000000003,80.799999999999997,108.7
1994-09-01,91.5,83.5,104
1994-10-01,92.700000000000003,85.099999999999994,104.59999999999999
1994-11-01,91.599999999999994,84.799999999999997,102.09999999999999
1994-12-01,95.099999999999994,88.799999999999997,104.90000000000001
1995-01-01,97.599999999999994,88.400000000000006,112
1995-02-01,95.099999999999994,85.900000000000006,109.3
1995-03-01,90.299999999999997,79.799999999999997,106.5
1995-04-01,92.5,83.799999999999997,105.90000000000001
1995-05-01,89.799999999999997,80.099999999999994,105
1995-06-01,92.700000000000003,84.099999999999994,106.09999999999999
1995-07-01,94.400000000000006,87.400000000000006,105.2
1995-08-01,96.200000000000003,86.099999999999994,111.8
1995-09-01,88.900000000000006,78.799999999999997,104.59999999999999
1995-10-01,90.200000000000003,80.799999999999997,104.8
1995-11-01,88.200000000000003,79.700000000000003,101.3
1995-12-01,91,83.700000000000003,102.40000000000001
1996-01-01,89.299999999999997,78.700000000000003,105.8
1996-02-01,88.5,77.799999999999997,105.2
1996-03-01,93.700000000000003,86.200000000000003,105.40000000000001
1996-04-01,92.700000000000003,83,107.8
1996-05-01,89.400000000000006,79.200000000000003,105.09999999999999
1996-06-01,92.400000000000006,84,105.40000000000001
1996-07-01,94.700000000000003,86.5,107.5
1996-08-01,95.299999999999997,87.299999999999997,107.8
1996-09-01,94.700000000000003,90.099999999999994,102
1996-10-01,96.5,89.900000000000006,106.59999999999999
1996-11-01,99.200000000000003,93.900000000000006,107.5
1996-12-01,96.900000000000006,91.799999999999997,104.90000000000001
1997-01-01,97.400000000000006,91.299999999999997,106.8
1997-02-01,99.700000000000003,94.900000000000006,107.2
1997-03-01,100,93.599999999999994,109.8
1997-04-01,101.40000000000001,92.5,115.2
1997-05-01,103.2,96.599999999999994,113.5
1997-06-01,104.5,98.900000000000006,113.2
1997-07-01,107.09999999999999,102.59999999999999,114
1997-08-01,104.40000000000001,100.3,110.7
1997-09-01,106,100.7,114.09999999999999
1997-10-01,105.59999999999999,102.8,109.8
1997-11-01,107.2,102.3,114.90000000000001
1997-12-01,102.09999999999999,96.099999999999994,111.40000000000001
1998-01-01,106.59999999999999,102.2,113.5
1998-02-01,110.40000000000001,104.2,120
1998-03-01,106.5,101.90000000000001,113.7
1998-04-01,108.7,104.3,115.5
1998-05-01,106.5,101.7,113.90000000000001
1998-06-01,105.59999999999999,99.299999999999997,115.40000000000001
1998-07-01,105.2,100,113.3
1998-08-01,104.40000000000001,98.299999999999997,113.90000000000001
1998-09-01,100.90000000000001,93.900000000000006,111.7
1998-10-01,97.400000000000006,87.5,112.8
1998-11-01,102.7,94.299999999999997,115.90000000000001
1998-12-01,100.5,91.900000000000006,113.90000000000001
1999-01-01,103.90000000000001,95.700000000000003,116.8
1999-02-01,108.09999999999999,103.59999999999999,115
1999-03-01,105.7,99,116.3
1999-04-01,104.59999999999999,97.400000000000006,115.90000000000001
1999-05-01,106.8,97.599999999999994,121.09999999999999
1999-06-01,107.3,99.799999999999997,118.90000000000001
1999-07-01,106,99.200000000000003,116.5
1999-08-01,104.5,98.400000000000006,114.09999999999999
1999-09-01,107.2,101.5,115.90000000000001
1999-10-01,103.2,97.099999999999994,112.7
1999-11-01,107.2,101,116.8
1999-12-01,105.40000000000001,101.09999999999999,112.2
2000-01-01,112,108.59999999999999,117.3
2000-02-01,111.3,107.8,116.8
2000-03-01,107.09999999999999,101.7,115.40000000000001
2000-04-01,109.2,103.7,117.8
2000-05-01,110.7,104.8,119.90000000000001
2000-06-01,106.40000000000001,100.8,115.09999999999999
2000-07-01,108.3,104.5,114.2
2000-08-01,107.3,104,112.40000000000001
2000-09-01,106.8,103.40000000000001,112
2000-10-01,105.8,100.7,113.59999999999999
2000-11-01,107.59999999999999,101.59999999999999,116.90000000000001
2000-12-01,98.400000000000006,90.700000000000003,110.5
2001-01-01,94.700000000000003,86.400000000000006,107.7
2001-02-01,90.599999999999994,80.799999999999997,105.8
2001-03-01,91.5,83.900000000000006,103.40000000000001
2001-04-01,88.400000000000006,82.200000000000003,98
2001-05-01,92,85.400000000000006,102.2
2001-06-01,92.599999999999994,86.900000000000006,101.59999999999999
2001-07-01,92.400000000000006,88.400000000000006,98.599999999999994
2001-08-01,91.5,85.200000000000003,101.2
2001-09-01,81.799999999999997,73.5,94.599999999999994
2001-10-01,82.700000000000003,75.5,94
2001-11-01,83.900000000000006,76.599999999999994,95.299999999999997
2001-12-01,88.799999999999997,82.299999999999997,99
2002-01-01,93,91.299999999999997,95.700000000000003
2002-02-01,90.700000000000003,87.200000000000003,96.200000000000003
2002-03-01,95.700000000000003,92.700000000000003,100.40000000000001
2002-04-01,93,89.099999999999994,99.200000000000003
2002-05-01,96.900000000000006,92.700000000000003,103.5
2002-06-01,92.400000000000006,87.900000000000006,99.5
2002-07-01,88.099999999999994,81,99.299999999999997
2002-08-01,87.599999999999994,80.599999999999994,98.5
2002-09-01,86.099999999999994,79.900000000000006,95.799999999999997
2002-10-01,80.599999999999994,73.099999999999994,92.400000000000006
2002-11-01,84.200000000000003,78.5,93.099999999999994
2002-12-01,86.700000000000003,80.799999999999997,96
2003-01-01,82.400000000000006,72.799999999999997,97.200000000000003
2003-02-01,79.900000000000006,69.900000000000006,95.400000000000006
2003-03-01,77.599999999999994,69.599999999999994,90
2003-04-01,86,79.299999999999997,96.400000000000006
2003-05-01,92.099999999999994,91.400000000000006,93.200000000000003
2003-06-01,89.700000000000003,86.400000000000006,94.700000000000003
2003-07-01,90.900000000000006,83.700000000000003,102.09999999999999
2003-08-01,89.299999999999997,82.5,99.700000000000003
2003-09-01,87.700000000000003,80.799999999999997,98.400000000000006
2003-10-01,89.599999999999994,83,99.900000000000006
2003-11-01,93.700000000000003,88.099999999999994,102.5
2003-12-01,92.599999999999994,89.799999999999997,97
2004-01-01,103.8,100.09999999999999,109.5
2004-02-01,94.400000000000006,88.5,103.59999999999999
2004-03-01,95.799999999999997,88.799999999999997,106.8
2004-04-01,94.200000000000003,87.299999999999997,105
2004-05-01,90.200000000000003,81.599999999999994,103.59999999999999
2004-06-01,95.599999999999994,88.5,106.7
2004-07-01,96.700000000000003,91.200000000000003,105.2
2004-08-01,95.900000000000006,88.200000000000003,107.90000000000001
2004-09-01,94.200000000000003,88,103.7
2004-10-01,91.700000000000003,83.799999999999997,104
2004-11-01,92.799999999999997,85.200000000000003,104.7
2004-12-01,97.099999999999994,90.900000000000006,106.7
2005-01-01,95.5,85.700000000000003,110.90000000000001
2005-02-01,94.099999999999994,84.400000000000006,109.2
2005-03-01,92.599999999999994,82.799999999999997,108
2005-04-01,87.700000000000003,77,104.40000000000001
2005-05-01,86.900000000000006,75.299999999999997,104.90000000000001
2005-06-01,96,85,113.2
2005-07-01,96.5,85.5,113.5
2005-08-01,89.099999999999994,76.900000000000006,108.2
2005-09-01,76.900000000000006,63.299999999999997,98.099999999999994
2005-10-01,74.200000000000003,63.200000000000003,91.200000000000003
2005-11-01,81.599999999999994,69.599999999999994,100.2
2005-12-01,91.5,80.200000000000003,109.09999999999999
2006-01-01,91.200000000000003,78.900000000000006,110.3
2006-02-01,86.700000000000003,74.5,105.59999999999999
2006-03-01,88.900000000000006,76,109.09999999999999
2006-04-01,87.400000000000006,73.400000000000006,109.2
2006-05-01,79.099999999999994,68.200000000000003,96.099999999999994
2006-06-01,84.900000000000006,72,105
2006-07-01,84.700000000000003,72.5,103.5
2006-08-01,82,68,103.8
2006-09-01,85.400000000000006,78.200000000000003,96.599999999999994
2006-10-01,93.599999999999994,84.799999999999997,107.3
2006-11-01,92.099999999999994,83.200000000000003,106
2006-12-01,91.700000000000003,81.200000000000003,108.09999999999999
2007-01-01,96.900000000000006,87.599999999999994,111.3
2007-02-01,91.299999999999997,81.5,106.7
2007-03-01,88.400000000000006,78.700000000000003,103.5
2007-04-01,87.099999999999994,75.900000000000006,104.59999999999999
2007-05-01,88.299999999999997,77.599999999999994,105.09999999999999
2007-06-01,85.299999999999997,74.700000000000003,101.90000000000001
2007-07-01,90.400000000000006,81.5,104.5
2007-08-01,83.400000000000006,73.700000000000003,98.400000000000006
2007-09-01,83.400000000000006,74.099999999999994,97.900000000000006
2007-10-01,80.900000000000006,70.099999999999994,97.599999999999994
2007-11-01,76.099999999999994,66.200000000000003,91.5
