dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,xgboost,x5,100,-0.03720297263718067,0.0020934457353157607,-0.039407563505470665,-0.03499095719843076
friedman1,rolling,xgboost,x5,200,-0.037325943694920746,0.0011812935539192023,-0.03839223323116959,-0.035861404052346293
friedman1,rolling,xgboost,x5,500,-0.03644046562615487,0.00040455249855178864,-0.03687883240476302,-0.036029946167738094
friedman1,rolling,xgboost,x5,1000,-0.036521780872502026,0.0004517296647514453,-0.036689597930398554,-0.03648262828938852
friedman1,rolling,xgboost,x6,3,-0.007064357789117399,0.0010682164780777992,-0.00767878035776118,-0.006062233528759556
friedman1,rolling,xgboost,x6,6,-0.0063861929066032575,0.0009569852638777648,-0.007331242672389402,-0.005632985970535754
friedman1,rolling,xgboost,x6,8,-0.006529868769941344,0.0008268080601162544,-0.007495734099011426,-0.006105028467632384
friedman1,rolling,xgboost,x6,12,-0.006574522393484416,0.000788203410474428,-0.007250326948176095,-0.005789000254092374
friedman1,rolling,xgboost,x6,18,-0.006662114683977112,0.00046124692428275917,-0.007147156119268928,-0.006149662503398907
friedman1,rolling,xgboost,x6,30,-0.006047123888495218,0.0002950750694030674,-0.006255453956758654,-0.0057625729368988125
friedman1,rolling,xgboost,x6,40,-0.006391181847502658,0.000298531057822773,-0.006605174570624999,-0.0060444539087753605
friedman1,rolling,xgboost,x6,60,-0.006527764133374862,0.00025982251037604616,-0.006809769754550114,-0.006262351035869189
friedman1,rolling,xgboost,x6,80,-0.006308361648460867,0.0001623082420026117,-0.0064487114231491045,-0.006176426408827847
friedman1,rolling,xgboost,x6,100,-0.006473454947271947,0.00029719481931697535,-0.006660668854080915,-0.006334375889009757
friedman1,rolling,xgboost,x6,200,-0.006342553698071748,0.00011297761146880701,-0.006438121853347109,-0.006230524149667848
friedman1,rolling,xgboost,x6,500,-0.006397975691835027,0.00010332161831447011,-0.00651837273514365,-0.006311367302930927
friedman1,rolling,xgboost,x6,1000,-0.006419966324727145,5.927511936184086e-05,-0.0064813910885650455,-0.006367215774465369
