dgp,window,model,predictor,M,mean,std,q_low,q_high
polynomial,expanding,rf,x5,3,-0.0012645766386499557,0.00014602535546101716,-0.001348844665658954,-0.0011184564348508334
polynomial,expanding,rf,x5,6,-0.0013259712638442795,5.763197205706947e-05,-0.0013526521431450804,-0.001273541108893861
polynomial,expanding,rf,x5,8,-0.001297060530850852,6.106336048644112e-05,-0.0013590453878810271,-0.0012491662627195131
polynomial,expanding,rf,x5,12,-0.001338247196896613,9.524048144469816e-05,-0.0013920030600498238,-0.0012874477271017522
polynomial,expanding,rf,x5,18,-0.0013421323347063575,5.2037203476688966e-05,-0.0013758286320004003,-0.0013111897714810747
polynomial,expanding,rf,x5,30,-0.0013502171854935933,4.8341180712001864e-05,-0.0013861812340581025,-0.001342249231602098
polynomial,expanding,rf,x5,40,-0.001354859791433015,3.9676695026166026e-05,-0.0014011385497997493,-0.0013213166361062563
polynomial,expanding,rf,x5,60,-0.0013242740577934732,5.2702298836312485e-05,-0.0013813431957059772,-0.0012750319469665376
polynomial,expanding,rf,x5,80,-0.0013494323774208084,2.209103344051048e-05,-0.0013643050497150959,-0.0013305149571010732
polynomial,expanding,rf,x5,100,-0.001325938734516953,3.821391929434447e-05,-0.001361925340630662,-0.0012914218589898416
polynomial,expanding,rf,x5,200,-0.0013316148897625918,2.1848693300072132e-05,-0.0013557501414654901,-0.00131669244679114
polynomial,expanding,rf,x5,500,-0.0013453974166553373,1.2357002205604133e-05,-0.0013566059543608157,-0.001332363288169984
polynomial,expanding,rf,x5,1000,-0.0013442551296044274,4.909542469301979e-06,-0.0013491609822779721,-0.0013412278488765476
polynomial,expanding,rf,x6,3,-0.005734722050839487,0.0004990125524155202,-0.0062436077049604945,-0.005408993563977035
polynomial,expanding,rf,x6,6,-0.005837380908283641,0.00028393726341702376,-0.006102266558519262,-0.005509004445299595
polynomial,expanding,rf,x6,8,-0.005877358134903695,0.00030531929990851287,-0.006160167922643625,-0.005512703455554375
polynomial,expanding,rf,x6,12,-0.005870550231328803,0.00023792743638778984,-0.006043982791786334,-0.005710300454298982
polynomial,expanding,rf,x6,18,-0.005756549302757608,0.00025827360678174247,-0.0059728212816647685,-0.005481079026034644
polynomial,expanding,rf,x6,30,-0.005640274523195873,0.0002190998658674779,-0.00584645531783456,-0.005452860165214388
polynomial,expanding,rf,x6,40,-0.005761291542030451,0.00016356927317957403,-0.0058706044311091915,-0.005590210358965752
polynomial,expanding,rf,x6,60,-0.005767507999666736,0.00011860620090994545,-0.00588067848824632,-0.005703212960232388
polynomial,expanding,rf,x6,80,-0.005726596227135527,7.146002009735696e-05,-0.005804693626445992,-0.005672774555934715
polynomial,expanding,rf,x6,100,-0.00571164198650892,0.00015928761222251992,-0.0058659834984725,-0.0055660623573695195
