dgp,window,model,predictor,M,mean,std,q_low,q_high
threshold,rolling,enet,x6,500,0.020793110743572946,3.750187424794314e-06,0.020789873110573374,0.020796660082167732
threshold,rolling,enet,x6,1000,0.02079234421601482,3.0626321728226997e-06,0.02078994850209331,0.02079512077467101
threshold,rolling,rf,x1,3,-0.6334181320347312,0.0025466567925640404,-0.6364146728832222,-0.6309380213464048
threshold,rolling,rf,x1,6,-0.6342524492438766,0.0020068296285776126,-0.6359523688319011,-0.6327679480466576
threshold,rolling,rf,x1,8,-0.6338277844456566,0.0016966219611917904,-0.634763346122601,-0.6326275065219376
threshold,rolling,rf,x1,12,-0.6337311932139936,0.0022384246001318545,-0.6364156361753962,-0.6316839152156263
threshold,rolling,rf,x1,18,-0.6334482869617828,0.0012821389546219105,-0.6349266577950713,-0.6322292412027662
threshold,rolling,rf,x1,30,-0.6331039749375136,0.0006906253661222345,-0.6334501402352797,-0.6324738767748059
threshold,rolling,rf,x1,40,-0.6335278844319461,0.0008432568469559869,-0.6341845062395998,-0.632689818535158
threshold,rolling,rf,x1,60,-0.6331200427984919,0.0006748294563580916,-0.633850370105003,-0.6324383678352213
threshold,rolling,rf,x1,80,-0.6336980294485084,0.00021672505126968484,-0.6338962671538311,-0.6334894121283489
threshold,rolling,rf,x1,100,-0.6331405552775813,0.0005152477250060449,-0.6336019910564777,-0.6327636952904668
threshold,rolling,rf,x1,200,-0.6335275875136097,0.0004885056634888777,-0.6340408039766019,-0.6331761706792693
threshold,rolling,rf,x1,500,-0.6333622919376958,0.00013249754517838296,-0.6334918604628827,-0.6332424072953515
threshold,rolling,rf,x1,1000,-0.6333706580433268,0.00013705747178162033,-0.6334432684263583,-0.63324431153692
threshold,rolling,rf,x2,3,-1.2008832416496464,0.0025626385566503737,-1.2035014462253004,-1.1984779191935842
threshold,rolling,rf,x2,6,-1.2007589485124852,0.0015320025773569073,-1.2022404722763598,-1.199114117336253
threshold,rolling,rf,x2,8,-1.200821275426827,0.0013591365819022963,-1.202263214380228,-1.1996131912617927
threshold,rolling,rf,x2,12,-1.200970852224571,0.0027573067384775826,-1.2037623873831909,-1.198205848191261
threshold,rolling,rf,x2,18,-1.2017595939796035,0.000964256406001525,-1.2024796554249557,-1.2008656864424447
threshold,rolling,rf,x2,30,-1.2014024314519278,0.0006809333193383712,-1.202055367698188,-1.2006481526167752
threshold,rolling,rf,x2,40,-1.201509122527378,0.0011197943215954561,-1.2026262489053838,-1.200388827096616
threshold,rolling,rf,x2,60,-1.2015548228565869,0.0007795680958853367,-1.2020343513584888,-1.200983711216522
threshold,rolling,rf,x2,80,-1.2009955368485061,0.0003400154127158048,-1.201311747628345,-1.200765936041364
threshold,rolling,rf,x2,100,-1.201449683376024,0.0004378930170719905,-1.2017879016550113,-1.2010002980788526
threshold,rolling,rf,x2,200,-1.2012507344435595,0.00021088284494852883,-1.2014163801566768,-1.2010401573465352
threshold,rolling,rf,x2,500,-1.2013426832494083,0.00016888771654074888,-1.2015380337186639,-1.2011840945793317
threshold,rolling,rf,x2,1000,-1.2015161444897173,0.0001647232583581499,-1.2016272280073927,-1.2013889904727184
threshold,rolling,rf,x3,3,-0.0023514008895513436,0.0036336841598881998,-0.005791673917761511,0.0008398617635865804
threshold,rolling,rf,x3,6,-0.0026589680486684467,0.0018203930163483704,-0.0038927161559291212,-0.0008346595411938031
threshold,rolling,rf,x3,8,-0.0023915013625776527,0.0013645955529257576,-0.0037975759994112457,-0.0016733621766758142
threshold,rolling,rf,x3,12,-0.002544581918086218,0.0015608803945782778,-0.0036646735637617654,-0.0013737051059576077
threshold,rolling,rf,x3,18,-0.001820438121860685,0.0013975328068725492,-0.002811392866753086,-0.0005641680824754792
threshold,rolling,rf,x3,30,-0.0020524665594142235,0.000757064321926981,-0.002788642815088867,-0.0017601137946928523
threshold,rolling,rf,x3,40,-0.002039032871269559,0.001100945853796892,-0.002649506905767706,-0.0008026016606946403
threshold,rolling,rf,x3,60,-0.0021502512343664843,0.0006646007250505234,-0.0027477856006100404,-0.0016340409166100281
threshold,rolling,rf,x3,80,-0.0022165445834393745,0.00024856023257062285,-0.002470869160363837,-0.0019486602817671646
threshold,rolling,rf,x3,100,-0.002392545362520992,0.0004670210895925011,-0.0027248684490723983,-0.0018489927109094102
threshold,rolling,rf,x3,200,-0.0023448129463116553,0.0003602560800615388,-0.002626710824001256,-0.002090689339904666
threshold,rolling,rf,x3,500,-0.00232403246637055,0.00019633090342512186,-0.002495311881175846,-0.0020838317569036612
