dgp,window,model,predictor,M,replicate,pbsv
friedman1,rolling,xgboost,x3,8,2,-0.021539170876177696
friedman1,rolling,xgboost,x4,8,2,-0.23215999772864976
friedman1,rolling,xgboost,x5,8,2,-0.0384756374234763
friedman1,rolling,xgboost,x6,8,2,-0.007601361626880639
friedman1,rolling,enet,x1,8,3,-1.3155140331982116
friedman1,rolling,enet,x2,8,3,-1.4183557160571088
friedman1,rolling,enet,x3,8,3,0.014282826794886155
friedman1,rolling,enet,x4,8,3,-0.25217031113572674
friedman1,rolling,enet,x5,8,3,-0.03662314108549465
friedman1,rolling,enet,x6,8,3,-0.009262070045963758
friedman1,rolling,rf,x1,8,3,-1.372714792153263
friedman1,rolling,rf,x2,8,3,-1.3690485689106977
friedman1,rolling,rf,x3,8,3,-0.010870608454675385
friedman1,rolling,rf,x4,8,3,-0.10875570057139493
friedman1,rolling,rf,x5,8,3,-0.014618927962599337
friedman1,rolling,rf,x6,8,3,-0.00291917236152979
friedman1,rolling,xgboost,x1,8,3,-1.4666643311441132
friedman1,rolling,xgboost,x2,8,3,-1.5102002055990007
friedman1,rolling,xgboost,x3,8,3,-0.021653740305879125
friedman1,rolling,xgboost,x4,8,3,-0.24409497208702363
friedman1,rolling,xgboost,x5,8,3,-0.03429800508318108
friedman1,rolling,xgboost,x6,8,3,-0.006721132227970536
friedman1,rolling,enet,x1,8,4,-1.3075916671446863
friedman1,rolling,enet,x2,8,4,-1.42446930451504
friedman1,rolling,enet,x3,8,4,0.014067837514042253
friedman1,rolling,enet,x4,8,4,-0.24497214991058247
friedman1,rolling,enet,x5,8,4,-0.04662534514762995
friedman1,rolling,enet,x6,8,4,-0.008051815523722819
friedman1,rolling,rf,x1,8,4,-1.3712065685973533
friedman1,rolling,rf,x2,8,4,-1.373159530583969
friedman1,rolling,rf,x3,8,4,-0.010727818769696862
friedman1,rolling,rf,x4,8,4,-0.10478205151242347
friedman1,rolling,rf,x5,8,4,-0.01661774526632291
friedman1,rolling,rf,x6,8,4,-0.002434055684394351
friedman1,rolling,xgboost,x1,8,4,-1.4599444604155196
friedman1,rolling,xgboost,x2,8,4,-1.5193857608088237
friedman1,rolling,xgboost,x3,8,4,-0.021735407182072883
friedman1,rolling,xgboost,x4,8,4,-0.2335707253580554
friedman1,rolling,xgboost,x5,8,4,-0.04289688145533574
friedman1,rolling,xgboost,x6,8,4,-0.006099151227361016
friedman1,rolling,enet,x1,8,5,-1.3007460261237505
friedman1,rolling,enet,x2,8,5,-1.4322183481852788
friedman1,rolling,enet,x3,8,5,0.01375023918694264
friedman1,rolling,enet,x4,8,5,-0.24509595629200004
friedman1,rolling,enet,x5,8,5,-0.04458783025118311
friedman1,rolling,enet,x6,8,5,-0.00874452306234974
friedman1,rolling,rf,x1,8,5,-1.3693935323964352
friedman1,rolling,rf,x2,8,5,-1.375195913812903
friedman1,rolling,rf,x3,8,5,-0.010747194355119338
friedman1,rolling,rf,x4,8,5,-0.10489399610887411
friedman1,rolling,rf,x5,8,5,-0.015990261578960135
friedman1,rolling,rf,x6,8,5,-0.002706872161868268
friedman1,rolling,xgboost,x1,8,5,-1.4537289181977908
friedman1,rolling,xgboost,x2,8,5,-1.526675325398012
friedman1,rolling,xgboost,x3,8,5,-0.02250060898568819
friedman1,rolling,xgboost,x4,8,5,-0.23293557461246361
friedman1,rolling,xgboost,x5,8,5,-0.04164383102359133
friedman1,rolling,xgboost,x6,8,5,-0.006148128229622421
friedman1,rolling,enet,x1,8,6,-1.2978470907173099
friedman1,rolling,enet,x2,8,6,-1.4278482744472605
friedman1,rolling,enet,x3,8,6,0.013591717311892557
friedman1,rolling,enet,x4,8,6,-0.25400177808572044
friedman1,rolling,enet,x5,8,6,-0.04132863689015781
friedman1,rolling,enet,x6,8,6,-0.010208381899063534
friedman1,rolling,rf,x1,8,6,-1.3667192208586627
friedman1,rolling,rf,x2,8,6,-1.3736771255640676
friedman1,rolling,rf,x3,8,6,-0.010840728725540094
friedman1,rolling,rf,x4,8,6,-0.10908322474240173
friedman1,rolling,rf,x5,8,6,-0.015677825820237745
friedman1,rolling,rf,x6,8,6,-0.002929644703250356
friedman1,rolling,xgboost,x1,8,6,-1.4471496365033214
friedman1,rolling,xgboost,x2,8,6,-1.522307000434262
friedman1,rolling,xgboost,x3,8,6,-0.023330142442817656
friedman1,rolling,xgboost,x4,8,6,-0.245276164419446
friedman1,rolling,xgboost,x5,8,6,-0.037893900232283395
friedman1,rolling,xgboost,x6,8,6,-0.007675542415037907
friedman1,rolling,enet,x1,8,7,-1.307893193052372
friedman1,rolling,enet,x2,8,7,-1.431439714316756
friedman1,rolling,enet,x3,8,7,0.013873423565532728
friedman1,rolling,enet,x4,8,7,-0.24426973712668745
friedman1,rolling,enet,x5,8,7,-0.04057778081634317
friedman1,rolling,enet,x6,8,7,-0.007335442980993423
friedman1,rolling,rf,x1,8,7,-1.3710576443071827
friedman1,rolling,rf,x2,8,7,-1.3743570173936548
friedman1,rolling,rf,x3,8,7,-0.011059511568030533
friedman1,rolling,rf,x4,8,7,-0.10524174517006064
friedman1,rolling,rf,x5,8,7,-0.014840773247441957
friedman1,rolling,rf,x6,8,7,-0.002371078727789619
friedman1,rolling,xgboost,x1,8,7,-1.4600870143048952
friedman1,rolling,xgboost,x2,8,7,-1.524626429904232
friedman1,rolling,xgboost,x3,8,7,-0.02295361641104069
friedman1,rolling,xgboost,x4,8,7,-0.23333991993272912
friedman1,rolling,xgboost,x5,8,7,-0.03748688618962805
friedman1,rolling,xgboost,x6,8,7,-0.0051385197046434
friedman1,rolling,enet,x1,12,0,-1.326007688117013
friedman1,rolling,enet,x2,12,0,-1.4278112215324252
friedman1,rolling,enet,x3,12,0,0.013974213623631613
