dgp,window,model,predictor,M,replicate,pbsv
threshold,rolling,xgboost,x4,8,0,0.020611425247160586
threshold,rolling,xgboost,x5,8,0,-0.0568209359316848
threshold,rolling,xgboost,x6,8,0,0.005792631035900803
threshold,rolling,enet,x1,8,1,0.02400777730096887
threshold,rolling,enet,x2,8,1,-0.5115337012915484
threshold,rolling,enet,x3,8,1,0.0029100458256107187
threshold,rolling,enet,x4,8,1,0.02727781162748727
threshold,rolling,enet,x5,8,1,-0.004930740795312222
threshold,rolling,enet,x6,8,1,0.020794574671138655
threshold,rolling,rf,x1,8,1,-0.6336713961506043
threshold,rolling,rf,x2,8,1,-1.2024311285910922
threshold,rolling,rf,x3,8,1,-0.001730281254655186
threshold,rolling,rf,x4,8,1,0.0068133693246942295
threshold,rolling,rf,x5,8,1,-0.018040406834133216
threshold,rolling,rf,x6,8,1,-0.0034575503095692073
threshold,rolling,xgboost,x1,8,1,-0.6853155822974302
threshold,rolling,xgboost,x2,8,1,-1.2153137205926563
threshold,rolling,xgboost,x3,8,1,-0.009529680199206747
threshold,rolling,xgboost,x4,8,1,0.022054924408823257
threshold,rolling,xgboost,x5,8,1,-0.0568502660445194
threshold,rolling,xgboost,x6,8,1,0.0054911306407011695
threshold,rolling,enet,x1,8,2,0.02403504035708859
threshold,rolling,enet,x2,8,2,-0.5115597344861196
threshold,rolling,enet,x3,8,2,0.002957897879144855
threshold,rolling,enet,x4,8,2,0.027264892242324035
threshold,rolling,enet,x5,8,2,-0.00490151298627986
threshold,rolling,enet,x6,8,2,0.020729184332186817
threshold,rolling,rf,x1,8,2,-0.6343069456676134
threshold,rolling,rf,x2,8,2,-1.2008882085665453
threshold,rolling,rf,x3,8,2,-0.0016692792660571443
threshold,rolling,rf,x4,8,2,0.005346435307535952
threshold,rolling,rf,x5,8,2,-0.01810858562008355
threshold,rolling,rf,x6,8,2,-0.002890810002596722
threshold,rolling,xgboost,x1,8,2,-0.6839862300746848
threshold,rolling,xgboost,x2,8,2,-1.211337938339597
threshold,rolling,xgboost,x3,8,2,-0.009905920907127247
threshold,rolling,xgboost,x4,8,2,0.018883364945735004
threshold,rolling,xgboost,x5,8,2,-0.05540060885461509
threshold,rolling,xgboost,x6,8,2,0.002284139146001285
threshold,rolling,enet,x1,8,3,0.024060979209104494
threshold,rolling,enet,x2,8,3,-0.5115824281703908
threshold,rolling,enet,x3,8,3,0.002923209460362397
threshold,rolling,enet,x4,8,3,0.027268451570138325
threshold,rolling,enet,x5,8,3,-0.004916211108691948
threshold,rolling,enet,x6,8,3,0.020771766377822326
threshold,rolling,rf,x1,8,3,-0.6347850683041615
threshold,rolling,rf,x2,8,3,-1.200842032728379
threshold,rolling,rf,x3,8,3,-0.001703303521212729
threshold,rolling,rf,x4,8,3,0.006512954400985177
threshold,rolling,rf,x5,8,3,-0.018177615156017735
threshold,rolling,rf,x6,8,3,-0.0035223285065742738
threshold,rolling,xgboost,x1,8,3,-0.6831305303407988
threshold,rolling,xgboost,x2,8,3,-1.214429643122768
threshold,rolling,xgboost,x3,8,3,-0.009802458593946323
threshold,rolling,xgboost,x4,8,3,0.020314093145625767
threshold,rolling,xgboost,x5,8,3,-0.0569177800174642
threshold,rolling,xgboost,x6,8,3,0.004503124845063322
threshold,rolling,enet,x1,8,4,0.024025875255563073
threshold,rolling,enet,x2,8,4,-0.5115999419962249
threshold,rolling,enet,x3,8,4,0.002924796860455353
threshold,rolling,enet,x4,8,4,0.027242516111020104
threshold,rolling,enet,x5,8,4,-0.004878473867165528
threshold,rolling,enet,x6,8,4,0.020810994974696767
threshold,rolling,rf,x1,8,4,-0.6343751833748569
threshold,rolling,rf,x2,8,4,-1.199842280927521
threshold,rolling,rf,x3,8,4,-0.0017416889836222582
threshold,rolling,rf,x4,8,4,0.005434691233769551
threshold,rolling,rf,x5,8,4,-0.018652241185419027
threshold,rolling,rf,x6,8,4,-0.0033406905777104423
threshold,rolling,xgboost,x1,8,4,-0.6847269565604328
threshold,rolling,xgboost,x2,8,4,-1.2143214236706894
threshold,rolling,xgboost,x3,8,4,-0.009713177347707075
threshold,rolling,xgboost,x4,8,4,0.018478410120277067
threshold,rolling,xgboost,x5,8,4,-0.05582257020690104
threshold,rolling,xgboost,x6,8,4,0.0066425235811650996
threshold,rolling,enet,x1,8,5,0.024054293238432
threshold,rolling,enet,x2,8,5,-0.5115656217288125
threshold,rolling,enet,x3,8,5,0.0028697018163069687
threshold,rolling,enet,x4,8,5,0.027259011457167165
threshold,rolling,enet,x5,8,5,-0.00489208442172831
threshold,rolling,enet,x6,8,5,0.020800466976979542
threshold,rolling,rf,x1,8,5,-0.6304152253839601
threshold,rolling,rf,x2,8,5,-1.2029445531147198
threshold,rolling,rf,x3,8,5,-0.0029268280402768576
threshold,rolling,rf,x4,8,5,0.0057613278264010415
threshold,rolling,rf,x5,8,5,-0.018514990928685943
threshold,rolling,rf,x6,8,5,-0.0034771241741185233
threshold,rolling,xgboost,x1,8,5,-0.6851373435652595
threshold,rolling,xgboost,x2,8,5,-1.2123840175292562
threshold,rolling,xgboost,x3,8,5,-0.009784543253445965
threshold,rolling,xgboost,x4,8,5,0.019403619799010258
threshold,rolling,xgboost,x5,8,5,-0.056807557353900945
threshold,rolling,xgboost,x6,8,5,0.005246647818564182
threshold,rolling,enet,x1,8,6,0.02402830242836787
threshold,rolling,enet,x2,8,6,-0.5115055655551911
threshold,rolling,enet,x3,8,6,0.0029141200553616242
threshold,rolling,enet,x4,8,6,0.027260098112882575
threshold,rolling,enet,x5,8,6,-0.004934684295267139
threshold,rolling,enet,x6,8,6,0.02076349659219101
threshold,rolling,rf,x1,8,6,-0.6346040501244903
threshold,rolling,rf,x2,8,6,-1.1990082042238803
threshold,rolling,rf,x3,8,6,-0.004765422452002538
threshold,rolling,rf,x4,8,6,0.006737736046545678
threshold,rolling,rf,x5,8,6,-0.018155754526715445
threshold,rolling,rf,x6,8,6,-0.0027216985348171574
threshold,rolling,xgboost,x1,8,6,-0.6856911239403274
threshold,rolling,xgboost,x2,8,6,-1.211842581929444
threshold,rolling,xgboost,x3,8,6,-0.008200707111803485
threshold,rolling,xgboost,x4,8,6,0.020124297136377367
threshold,rolling,xgboost,x5,8,6,-0.05739787091586776
threshold,rolling,xgboost,x6,8,6,0.003544792676777181
threshold,rolling,enet,x1,8,7,0.024007698690214574
threshold,rolling,enet,x2,8,7,-0.511482676270947
threshold,rolling,enet,x3,8,7,0.0028100315889953154
threshold,rolling,enet,x4,8,7,0.027256764115983073
threshold,rolling,enet,x5,8,7,-0.004905386898388403
threshold,rolling,enet,x6,8,7,0.020839336112487256
threshold,rolling,rf,x1,8,7,-0.6324851579362103
threshold,rolling,rf,x2,8,7,-1.1995819517619206
threshold,rolling,rf,x3,8,7,-0.003916314357475026
threshold,rolling,rf,x4,8,7,0.005402436918473197
threshold,rolling,rf,x5,8,7,-0.018164327117849544
threshold,rolling,rf,x6,8,7,-0.0037720795603777
threshold,rolling,xgboost,x1,8,7,-0.6880299761553362
threshold,rolling,xgboost,x2,8,7,-1.2103983082118446
threshold,rolling,xgboost,x3,8,7,-0.010639860083437008
threshold,rolling,xgboost,x4,8,7,0.018461594104838885
threshold,rolling,xgboost,x5,8,7,-0.05586595213201945
threshold,rolling,xgboost,x6,8,7,0.007009308393510161
threshold,rolling,enet,x1,12,0,0.024072435157067567
threshold,rolling,enet,x2,12,0,-0.5115253986331568
threshold,rolling,enet,x3,12,0,0.0028732009067296374
threshold,rolling,enet,x4,12,0,0.02722053966215752
threshold,rolling,enet,x5,12,0,-0.004931674796632979
threshold,rolling,enet,x6,12,0,0.020816665042180067
threshold,rolling,rf,x1,12,0,-0.6322994953480957
threshold,rolling,rf,x2,12,0,-1.2015986215135208
threshold,rolling,rf,x3,12,0,-0.002083390697901292
threshold,rolling,rf,x4,12,0,0.005012764975535007
threshold,rolling,rf,x5,12,0,-0.017670274459399005
threshold,rolling,rf,x6,12,0,-0.0038783767719780724
threshold,rolling,xgboost,x1,12,0,-0.683423779965359
threshold,rolling,xgboost,x2,12,0,-1.2121807483953504
threshold,rolling,xgboost,x3,12,0,-0.00996634422444087
threshold,rolling,xgboost,x4,12,0,0.017426546185362175
threshold,rolling,xgboost,x5,12,0,-0.058007269751890835
threshold,rolling,xgboost,x6,12,0,0.006688402067390724
threshold,rolling,enet,x1,12,1,0.024059521753928986
threshold,rolling,enet,x2,12,1,-0.5115636794886987
threshold,rolling,enet,x3,12,1,0.0028699815761228007
threshold,rolling,enet,x4,12,1,0.02728266118753821
threshold,rolling,enet,x5,12,1,-0.004908600014782272
threshold,rolling,enet,x6,12,1,0.020785882324235932
threshold,rolling,rf,x1,12,1,-0.6335804040293406
threshold,rolling,rf,x2,12,1,-1.2019010974749726
threshold,rolling,rf,x3,12,1,-0.002313736079614289
threshold,rolling,rf,x4,12,1,0.006870351753273052
threshold,rolling,rf,x5,12,1,-0.018340068737383548
threshold,rolling,rf,x6,12,1,-0.003252439247321992
threshold,rolling,xgboost,x1,12,1,-0.6838872189555673
threshold,rolling,xgboost,x2,12,1,-1.2152954886819176
threshold,rolling,xgboost,x3,12,1,-0.008944703045466518
threshold,rolling,xgboost,x4,12,1,0.021330687842589235
threshold,rolling,xgboost,x5,12,1,-0.05734886181048676
threshold,rolling,xgboost,x6,12,1,0.0046823905665606125
threshold,rolling,enet,x1,12,2,0.024023133967518373
threshold,rolling,enet,x2,12,2,-0.5115114677492238
