dgp,window,model,predictor,M,replicate,pbsv
polynomial,rolling,rf,x6,8,7,0.0013579088027643738
polynomial,rolling,xgboost,x1,8,7,-0.8528918473870578
polynomial,rolling,xgboost,x2,8,7,-0.524831833966077
polynomial,rolling,xgboost,x3,8,7,-1.4232126382019932
polynomial,rolling,xgboost,x4,8,7,-0.0014411417610004917
polynomial,rolling,xgboost,x5,8,7,1.232223565184043e-06
polynomial,rolling,xgboost,x6,8,7,0.004562861633927218
polynomial,rolling,enet,x1,12,0,0.008695559045425702
polynomial,rolling,enet,x2,12,0,0.028379733095443838
polynomial,rolling,enet,x3,12,0,-1.0320353682235281
polynomial,rolling,enet,x4,12,0,0.0033190560096883668
polynomial,rolling,enet,x5,12,0,0.0033092053199902938
polynomial,rolling,enet,x6,12,0,0.010732915210332927
polynomial,rolling,rf,x1,12,0,-0.558835086233986
polynomial,rolling,rf,x2,12,0,-0.3654661258262822
polynomial,rolling,rf,x3,12,0,-1.028360580281413
polynomial,rolling,rf,x4,12,0,3.281045929239464e-05
polynomial,rolling,rf,x5,12,0,-0.0021438334952987117
polynomial,rolling,rf,x6,12,0,0.0014153555052129156
polynomial,rolling,xgboost,x1,12,0,-0.8577075259181864
polynomial,rolling,xgboost,x2,12,0,-0.539302944003223
polynomial,rolling,xgboost,x3,12,0,-1.4052318377191721
polynomial,rolling,xgboost,x4,12,0,-0.0009526160595581904
polynomial,rolling,xgboost,x5,12,0,0.0004457769203443281
polynomial,rolling,xgboost,x6,12,0,0.004935779321159535
polynomial,rolling,enet,x1,12,1,0.008570263669154532
polynomial,rolling,enet,x2,12,1,0.028375489703928558
polynomial,rolling,enet,x3,12,1,-1.0321563550220867
polynomial,rolling,enet,x4,12,1,0.003597658908471172
polynomial,rolling,enet,x5,12,1,0.003320578198012717
polynomial,rolling,enet,x6,12,1,0.01069346499987256
polynomial,rolling,rf,x1,12,1,-0.5585089611172446
polynomial,rolling,rf,x2,12,1,-0.3653049097672462
polynomial,rolling,rf,x3,12,1,-1.0278571185226022
polynomial,rolling,rf,x4,12,1,-0.0008194718371520674
polynomial,rolling,rf,x5,12,1,-0.002119565426105382
polynomial,rolling,rf,x6,12,1,0.0012525667978758315
polynomial,rolling,xgboost,x1,12,1,-0.858623332712947
polynomial,rolling,xgboost,x2,12,1,-0.5396530236606217
polynomial,rolling,xgboost,x3,12,1,-1.406212077623235
polynomial,rolling,xgboost,x4,12,1,-0.0006298101108765756
polynomial,rolling,xgboost,x5,12,1,0.0006274139293639772
polynomial,rolling,xgboost,x6,12,1,0.0066774627196803755
polynomial,rolling,enet,x1,12,2,0.008598314691789307
polynomial,rolling,enet,x2,12,2,0.028379893277294826
polynomial,rolling,enet,x3,12,2,-1.0321125748410491
polynomial,rolling,enet,x4,12,2,0.0034936481976270417
