horizon,model,predictor,structural_zero,source
1,xgb_cv,fred_houstw,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_permit,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_permitne,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_permitmw,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_permits,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_permitw,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_amdmnox,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_amdmuox,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_businvx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_isratiox,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_bogmbase,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_totresns,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_nonborres,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_busloans,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_realln,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_nonrevsl,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_conspi,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_s&p 500,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_s&p div yield,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_s&p pe ratio,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_fedfunds,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cp3mx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_tb3ms,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_tb6ms,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_gs1,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_gs5,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_gs10,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_aaa,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_baa,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_compapffx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_tb3smffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_tb6smffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_t1yffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_t5yffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_t10yffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_aaaffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_baaffm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_exszusx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_exjpusx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_exusukx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_excausx,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_wpsfd49207,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_wpsfd49502,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_wpsid61,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_wpsid62,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_oilpricex,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ppicmm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cpiappsl,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cpitrnsl,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cpimedsl,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cusr0000sac,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cusr0000sad,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cusr0000sas,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cpiulfsl,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cusr0000sa0l2,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_cusr0000sa0l5,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_pcepi,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ddurrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_dndgrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_dserrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ces0600000008,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ces2000000008,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_ces3000000008,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_dtcolnvhfnm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_dtcthfnm,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,fred_invest,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,soc_ics,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,soc_ice,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,soc_icc,False,all_retained_no_direct_invariance_evidence
1,xgb_cv,ar,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_rpi,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_w875rx1,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_dpcera3m086sbea,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cmrmtsplx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_retailx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_indpro,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipfpnss,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipfinal,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipcongd,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipdcongd,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipncongd,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipbuseq,False,all_retained_no_direct_invariance_evidence
